# Segmentation de référence du français — annotée à la main.
#
# Un onglet entre les champs, un champ vide vaut « absent ». Les lignes
# viennent du corpus telles quelles, fautes comprises : un parser qui ne
# tient que sur des lignes propres ne sert à rien.
#
# Produit par `./crawl testdata`, relu dans l'interface d'annotation
# (`./crawl serve` puis /annote.html). Ne pas éditer à la main sans reporter
# la correction en base, elle serait écrasée au prochain export.
#
# plancher: 0.850
#   Part des lignes que `crawler/parse.py` lit exactement comme ici, au
#   moment de l'export. Le test `tests/test_testdata.py` refuse de descendre
#   en dessous : c'est le garde-fou contre les régressions.
#
# plancher-resolution: 0.575
#   Part des aliments annotés qui tombent sur une entrée du lexique
#   embarqué, pluriels et alias compris. Elle ne juge pas la découpe mais la
#   couverture du référentiel, et monte avec lui : `TestResolutionDuJeuDeReference`
#   refuse de descendre en dessous.
#
# source	brut	quantité	unité	partitif	aliment	note
750g	Thym				Thym	
750g	Sel ou sel fin				Sel	ou sel fin
750g	Une dizaine de pignons de pin		Une dizaine	de	pignons de pin	
750g	40 g de beurre	40	g	de	beurre	
750g	6 tiges d'oignons nouveaux ou Cébettes	6	tiges	d'	oignons nouveaux	ou Cébettes
750g	1 citron jaune	1			citron jaune	
750g	Un morceau de pecorino romano	Un	morceau	de	pecorino romano	
750g	½ botte de menthe	½	botte	de	menthe	
750g	1 pâte brisée Tarte en or	1			pâte brisée	Tarte en or
750g	Vinaigrette				Vinaigrette	
750g	100 g de chapelure	100	g	de	chapelure	
750g	1 c. à s. d'herbes de Provence	1	c. à s.	d'	herbes de Provence	
750g	Sel ou sel fin				Sel	ou sel fin
750g	1 boite de maïs	1	boite	de	maïs	
750g	1 citron	1			citron	
750g	4 tomates séchées	4			tomates séchées	
750g	2 oeufs durs	2			oeufs durs	
750g	1 gousse d'ail	1	gousse	d'	ail	
750g	1 tomate	1			tomate	
750g	4 brochettes	4			brochettes	
750g	1 orange	1			orange	
750g	1 courgette	1			courgette	
750g	3 tomates	3			tomates	
750g	1 boule de mozzarella	1	boule	de	mozzarella	
750g	1 pincée de sel ou sel fin	1	pincée	de	sel	ou sel fin
cuisineaz	200 ml Crème végétale	200	ml		Crème végétale	
cuisineaz	5 c. à soupe Crème de marron	5	c. à soupe		Crème de marron	
cuisineaz	1 cube(s) Bouillon cube(s)	1	cube(s)		Bouillon cube(s)	
cuisineaz	1 c. à café Moutarde	1	c. à café		Moutarde	
cuisineaz	1 Reblochon	1			Reblochon	
cuisineaz	1 l Lait	1	l		Lait	
cuisineaz	1 bouquet(s) Menthe fraîche	1	bouquet(s)		Menthe fraîche	
cuisineaz	200 g Farine de blé	200	g		Farine de blé	
cuisineaz	4 branche(s) Branche fraîche de romarin légèrement brûlée	4	branche(s)		Branche fraîche de romarin	légèrement brûlée
cuisineaz	150 grammes Beurre	150	grammes		Beurre	
cuisineaz	500 g Petits pois frais	500	g		Petits pois frais	
cuisineaz	0.5 Melon blanc	0.5			Melon blanc	
cuisineaz	120 g Rapadura (sucre de canne)	120	g		Rapadura	sucre de canne
cuisineaz	Safran				Safran	
cuisineaz	2 Œuf(s)	2			Œuf(s)	
cuisineaz	50 g Sucre glace	50	g		Sucre glace	
cuisineaz	10 g Beurre	10	g		Beurre	
cuisineaz	250 g Farine	250	g		Farine	
cuisineaz	500 g Farine T55	500	g		Farine	T55
cuisineaz	0.5 branche(s) Coriandre fraîche	0.5	branche(s)		Coriandre fraîche	
cuisineaz	0.5 botte(s) Persil plat	0.5	botte(s)		Persil plat	
cuisineaz	15 cl Vin blanc sec	15	cl		Vin blanc sec	
cuisineaz	1 Œuf(s)	1			Œuf(s)	
cuisineaz	1 l Crème	1	l		Crème	
cuisineaz	50 g Feta	50	g		Feta	
cuisineaz	200 g Fromage de chèvre	200	g		Fromage de chèvre	
cuisineaz	1 l Eau	1	l		Eau	
cuisineaz	1 kg Aile(s) de poulet	1	kg		Aile(s) de poulet	
cuisineaz	1 Gousse(s) de vanille	1	Gousse(s)	de	vanille	
cuisineaz	0 Noix de muscade	0	Noix	de	muscade	
cuisineaz	1 Extrait de vanille	1			Extrait de vanille	
cuisineaz	3 Pomme(s) de terre	3			Pomme(s) de terre	
cuisineaz	6 Blanc(s) de poulet	6			Blanc(s) de poulet	
cuisineaz	4 Blanc(s) de poulet	4			Blanc(s) de poulet	
cuisineaz	6 Pomme(s) de terre	6			Pomme(s) de terre	
